#,PMID,DOI,PMCID,Field,Year,Journal,Title,Full text chars,Data sources used,Primary data produced,Primary data description,Software used,Primary software produced,Primary software description,Methods used,Primary computational methods produced,Primary methods description,Data availability,Software availability,Methods availability,Novelty phrases,Sonnet-FT classification,Haiku-FT classification,Haiku-ABS classification,Sonnet-FT confidence,Sonnet-FT cost GBP,Haiku-FT cost GBP,Haiku-ABS cost GBP,Sonnet-FT input tokens,Sonnet-FT output tokens,Haiku-FT input tokens,Haiku-FT output tokens,Haiku-ABS input tokens,Haiku-ABS output tokens,Sonnet-FT latency s,Haiku-FT latency s,Haiku-ABS latency s,Sonnet-FT vs Haiku-FT agree,Haiku-FT vs Haiku-ABS agree,Sonnet-FT vs Haiku-ABS agree
11,37186857,10.1073/pnas.2221967120,PMC10214187,biochem-1,2023,Proceedings of the National Academy of Sciences of the United States of America,Design of rigid protein–protein interaction inhibitors enables targeting of undruggable Mcl-1,37465,"Existing PDB crystal structures of Mcl-1 apo and Bim-bound forms (e.g., PDB: 2PQK) | Previously published crystal structures of S64315 (compound 2) and AZD5991 (compound 3) bound to Mcl-1 | Previously published crystal structure of compound 4 bound to Mcl-1",Y,"Novel crystal structure of clinical-stage inhibitor AMG-176 (compound 1) bound to Mcl-1, deposited in the Protein Data Bank (PDB ID: 8AV9); NMR spectroscopy data (15N-HSQC, NOE distances, scalar couplings, 1H chemical shifts) characterizing free-in-solution conformers of inhibitors 1–3 and 5; SPR binding kinetics and FRET/cellular potency data for inhibitors 1–5",Probe points (PP) scoring method for pocket volume analysis | Protein-ligand binding (PLB) index scoring method | ECHOS-NMR analysis for 15N-HSQC spectral correlation | HOSE method for 1H chemical shift prediction | Molecular dynamics (MD) simulation for conformer space exploration | Density Functional Theory (DFT) calculations for chemical shift computation | Diamond Light Source (synchrotron facility for X-ray diffraction data collection),N,No new software tools or packages were developed or released,"X-ray crystallography (crystal soaking, diffraction data collection, structure determination) | 15N-HSQC NMR spectroscopy | Free-in-solution conformational analysis using NOE distances, scalar couplings, and 1H chemical shifts | Surface plasmon resonance (SPR) direct binding assay | FRET-based competitive binding inhibition assay | Caspase activity inhibition assay in MOLP-8 cells | Ca backbone RMSD analysis | Ligand efficiency calculation",N,"No new computational methods were developed; existing methods (PP scoring, PLB index, ECHOS-NMR, HOSE prediction, MD simulation, DFT calculations) were applied but not newly created",Crystal structure deposited in PDB (ID: 8AV9); NMR chemical shift data tabulated in SI Appendix supplementary notes; biological assay data provided in Table 1,No new software produced; existing tools used as described in SI Appendix,Methods described as performed per previously published protocols; detailed methods available in SI Appendix online,we report the crystal structure of the clinical-stage inhibitor AMG-176 bound to Mcl-1 | unprecedented induced fit is uniquely achieved by designing highly rigid inhibitors | we discovered that all the three clinical Mcl-1 inhibitors are rigidly prestructured free in solution | this work provides a roadmap for targeting the largely untapped PPI class more successfully | remarkable ligand-induced pocket deepening | PPI binding site shallow and not drug like in both apo and cognate peptide-bound Mcl-1 becomes unexpectedly voluminous and druggable | free inhibitor 1 adopts a 3D conformation identical to the crystal-defined conformer of 1 bound to Mcl-1 | inhibitor preorganization in the bioactive conformation is the outstanding discriminator between successful clinical-stage inhibitors,primary,primary,mixed,high,0.04152,0.01451,0.00396,12136,1033,12135,1200,770,836,18.6,13.8,6.9,Y,N,N
12,36862754,10.1371/journal.pmed.1004170,PMC9980736,medicine-trial,2023,PLOS Medicine,The effect of supervision on community health workers’ effectiveness with households in rural South Africa: A cluster randomized controlled trial,72152,Government-issued Road to Health Cards | Clinic and hospital antenatal and birth records | WHO age-adjusted anthropometric norms for gender | South African government immunization directives | WHO developmental milestones,Y,"Original trial data collected from 873 pregnant women across 8 clinics in rural South Africa over approximately 4 years, including maternal/child health outcomes at 5 time points",blme package in R (Bayesian linear mixed-effects models) | Mobile phone GPS logging portal for CHW visit tracking | Digital interview platform for data collection,N,No new software developed; existing R package (blme) used for analysis,Cluster randomized controlled trial design | Linear mixed-effects models for continuous outcomes | Logistic mixed-effects models for binary outcomes | Penalized likelihood approach for clinic variance (posterior mode with weakly informative prior) | Harwood et al. multiple-outcomes significance strategy with Monte Carlo simulations | Edinburgh Postnatal Depression Scale (EPDS) | Alcohol Use Disorders Identification Test-C (AUDIT-C) | Height-for-age z-scores and weight-for-age z-scores using WHO norms | CONSORT extension for cluster trials reporting | Monte Carlo simulations for power analysis | Intraclass correlation estimation,N,No novel computational methods developed; standard mixed-effects models applied using established frameworks,No explicit data availability statement in the provided text; trial registered at ClinicalTrials.gov NCT02957799,Uses publicly available blme R package; no custom software released,Statistical methods reference published Harwood et al. framework; analysis approach described in detail in methods section,"This study fills this gap | cluster randomized controlled effectiveness trial | analytic strategy that allows us to analyze multiple outcomes that does not rely on a power-killing, Bonferroni-type correction | evaluate our hypothesis that supportive supervision is superior to standard care | pragmatic—recognizing that it is rarely possible to recruit CHWs from scratch | New, alternative methodologies that account for the differences in outcomes by quantifying uncertainty may be more appropriate for multi-outcome studies",secondary,secondary,secondary,high,0.05591,0.01973,0.00372,19791,701,19790,974,1161,697,14.8,11.5,11.9,Y,Y,Y
13,38100737,10.1371/journal.pdig.0000383,PMC10723831,medicine-cohort,2023,PLOS Digital Health,Phenotypes and rates of cancer-relevant symptoms and tests in the year before cancer diagnosis in UK Biobank and CPRD Gold,78869,"CPRD Gold (Clinical Practice Research Datalink) | UK Biobank primary care EHR data | National cancer registry data (England, Wales, Scotland) | NHS TRUD Read v2 to CTV3 mapping files",Y,"Derived cohort-level data on rates and proportions of cancer-relevant symptoms and blood tests in the year before cancer diagnosis for 22,601 CPRD and 11,594 UK Biobank cancer patients, including adjusted rate ratios by cancer site, country, and symptom type.",Vision GP software (EHR system) | SystmOne/TPP (EHR system) | EMIS (EHR system),N,No new software tool or package was produced or released.,"Poisson regression models | Indirect standardisation | Restricted cubic splines | Multivariable adjustment for age, sex, deprivation (IMD), cancer site | Read v2 symptom phenotypes from prior studies | CTV3 blood test phenotypes from prior studies",Y,"Developed harmonised phenotypes (1,776 codes across Read v2 and CTV3 coding systems) for 21 cancer-relevant symptoms and 8 blood tests. Applied an indirect standardisation-analogous Poisson regression approach to compare rates between two EHR cohorts, including restricted cubic splines for age parametrisation and robust standard errors for overdispersion.","CPRD data used under ISAC Protocol 18_299RMnA5; UK Biobank data under application 64351. Codelists provided as supplementary tables (S1, S2 Tables). Raw patient-level data not publicly available.",No software released; codelists (phenotypes) shared as supplementary material.,Statistical analysis approach described in detail in the Methods section; no code repository mentioned.,"we developed harmonised phenotypes in Read v2 and CTV3 coding systems | de novo harmonised phenotypes applicable across both sources of data | harmonised Read v2 and CTV3 symptom phenotypes | 1,776 codes (1,227 CTV3, 549 Read v2) | approach analogous to indirect standardisation | there were no symptom phenotypes [for CTV3] | The phenotypes for identifying symptoms we developed may be useful for other researchers working with UK primary care data",mixed,secondary,secondary,high,0.06130,0.02098,0.00343,21986,711,21985,848,957,666,15.0,9.9,6.0,N,Y,N
14,37388662,10.3389/fpsyg.2023.1193241,PMC10300435,psychology-1,2023,Frontiers in Psychology,Decolonising the psychology curriculum: a perspective,23855,"Existing qualitative and quantitative studies on decolonisation in academia | Historical records and published accounts (e.g., Cartwright 1851, Rush 1799) | Reports and publications from BPS, APA, ABPsi | Institutional toolkits and frameworks (SOAS, UCL, Advance HE)",N,No new empirical data collected; the paper is a perspective/opinion piece drawing on existing literature.,,N,No software developed or released.,Narrative literature review | Perspective/opinion synthesis | Critical analysis of existing frameworks and institutional practices,N,"No computational methods, algorithms, statistical models, or analytical frameworks developed.",Authors state original contributions are included in the article/supplementary material; no new dataset produced.,None mentioned.,"No novel methods developed; existing frameworks by Le Grange, Moncrieffe et al., and Smith are summarised and cited.",we approach the decolonization of Psychology from a Western viewpoint | highlighting gaps for future research | a full-scale re-evaluation of the Psychology domain | research on the impact and effectiveness of decolonisation frameworks and approaches is warranted,secondary,secondary,secondary,high,0.01926,0.00692,0.00230,5786,448,5785,574,621,450,9.2,6.6,4.3,Y,Y,Y
15,37353567,10.1038/s41597-023-02303-y,PMC10290071,environ-1,2023,Scientific Data,DOCU-CLIM: A global documentary climate dataset for climate reconstructions,43008,"PAGES2k Global 2,000 Year Multiproxy Database | NOAA/World Data Service for Paleoclimatology (NOAA Paleo) | Euro-Climhist database | Tambora.org | NSIDC Global Lake and River Ice Phenology database | Japan Climate Data Project (JCDP) | CLIWOC (Climatological Database for the World's Oceans) | Institute for Ocean Technology Ice Database | KNMI Climate Explorer | RECLIDO (Red Española de Reconstrucción Climática) | Salvá Sinobas database | Vareclim database | REACHES (Reconstructed East Asian Climate Historical Encoded Series) | TEMPEST database | BEST (Berkeley Earth Surface Temperature) gridded temperature fields | HadCRUT5 temperature fields | GPCC precipitation fields | EKF400v2 global monthly climate reconstruction | Rykachev (1886) compilation of Russian river freezing/thawing dates | Shostakovich follow-up compilation",Y,"DOCU-CLIM: a new global documentary climate dataset comprising 621 time series (both published and hitherto unpublished) of documentary climate records covering temperature, precipitation, and wind regime, including 137 rescued ice phenology series and 5 precipitation series digitized from historical sources. Totaling more than 100,000 values stored in ASCII format with standardized 27-column structure.","R (statistical computing environment, used for reading files)",N,"R-code to read the files is provided as supplementary material, but no standalone software tool or package is presented as a primary output.",Literature and database search for documentary climate series | Data rescue and digitization from historical sources | Multiple linear regression (least-squares estimation) for proxy forward modeling | Backward variable selection for predictor month inclusion | Pearson correlation coefficient for goodness-of-fit evaluation | Logarithmic transformation of skewed variables | Standardized anomaly analysis for case study | Offline Kalman filter data assimilation (referenced as intended application context),Y,"Proxy forward models (multiple regression models using least-squares estimation) were developed to predict documentary observations from instrumental climate fields, including a backward variable selection procedure for phenological series incorporating lagged predictors and log-transformations. These forward models are novel analytical tools directly integrated into the dataset and intended for use in data assimilation workflows.",DOCU-CLIM dataset is publicly available at the BORIS repository (https://boris-portal.unibe.ch/handle/20.500.12422/207) under a CC-BY license.,R-code to read the files is provided as supplementary material.,"Forward modeling procedures and data format specifications are described in detail in the paper and in supplementary files (DOCU_CLIM_File_Description.txt, DOCU-CLIM_Inventory.txt, DOCU-CLIM_Rescued.txt).","first global multi-variable collection of documentary climate records | 621 time series (both published and hitherto unpublished) | we also rescued a significant amount of data | 137 ice phenology series and 5 precipitation series [rescued] | global documentary climate dataset for climate reconstructions | we formulated forward models based on instrumental global monthly climate fields | a global monthly palaeoclimate reanalysis starting in 1420 | DOCU-CLIM comprises … providing information on historical variations in temperature, precipitation, and wind regime | documentary data are rarely used in large-scale climate reconstructions | a global dataset of documentary climate time series has never been compiled",primary,primary,primary,high,0.03871,0.01306,0.00241,10621,1102,10620,1142,528,498,24.1,14.4,4.3,Y,Y,Y
16,37933221,10.7554/eLife.86576,PMC10629823,environ-2,2023,eLife,100 years of anthropogenic impact causes changes in freshwater functional biodiversity,116862,"Danish Meteorological Institute climate records | Danish national archives biocide sales records (1955–2015) | SILVA v138 reference database (taxonomic assignment) | diat.barcode v9.2 database (rbcL assignment) | Barcode of Life Database (COI assignment) | KEGG pathway database | Historical records of Lake Ring human impact (Cuenca Cambronero et al., 2018)",Y,"Original multilocus metabarcoding data (18S, 16SV1, 16SV4, COI, rbcL barcodes) from 34 sediment layers of Lake Ring spanning 100 years; DDT quantification via GC-MS from sediment archive; ASV tables with ~12,000+ unique ASVs across barcodes",QIIME2 v2021.2 | DADA2 (via QIIME2) | cutadapt 3.7.4 | FASTQC | MultiQC | PICRUST2 | ANCOM (via QIIME2) | qiime feature-classifier classify-sklearn | ggplot2 v3.3.5 | R v4.0.2 | pheatmap v1.0.12 | Illumina MiSeq sequencing platform,N,"No new standalone software or code package released; the analytical pipeline uses existing tools (QIIME2, DADA2, sCCA, PICRUST2) assembled into a workflow",Multilocus metabarcoding / amplicon sequencing | Radiometric sediment dating (210Pb gamma assay) | Gas chromatography–mass spectrometry (GC-MS) for DDT quantification | PERMANOVA with weighted UniFrac distances | Kruskal-Wallis test for alpha diversity | Fisher's exact test for KEGG pathway enrichment | Sparse canonical correlation analysis (sCCA) | Sliding Window Pearson Correlation (SWC) | Naive-Bayes taxonomic classification | Rarefaction normalization,Y,"A novel analytical pipeline combining sparse Canonical Correlation Analysis (sCCA) with Sliding Window Pearson Correlation (SWC) analysis for multimodal learning on community-level biodiversity, biocide, and climate matrices; includes a step-wise recall-rate filtering approach to identify joint effects of abiotic variables on taxonomic families over time; described as 'explainable network models with multimodal learning'",Interactive visualizations available at https://environmental-omics-group.github.io/Biodiversity_Monitoring/; supplementary files provided with the paper; no explicit statement about sequence data deposition in primary text shown,No standalone software package released; pipeline steps described in methods and appendix figure,Analytical pipeline described in detail in Materials and Methods with a step-by-step workflow (Appendix 1-figure 5); parameters and thresholds specified,explainable network models with multimodal learning | community-level functional biodiversity measured with multilocus metabarcoding | conceptual framework that establishes the links between biodiversity dynamics and abiotic change through time and space using artificial intelligence | sparse canonical correlation analysis (sCCA) followed by Sliding Window (Pearson) Correlation (SWC) analysis | joint effects of biocides and climate variables on biodiversity | recall rate to quantify ASVs within a family significantly correlated with abiotic variables | high-throughput systemic approaches on long-term trends over species-focused ecological surveys | our algorithm provides a high degree of confidence that surpasses state-of-the-art analysis | resolution and reliability of our data-driven systemic approach goes beyond the current state-of-the-art | biological fingerprinting combined with chemical fingerprinting over 100 years,mixed,PARSE_ERR,primary,high,0.08585,0.02880,0.00432,30005,1153,30004,1200,1120,855,21.2,14.4,8.6,N,N,N
17,37139088,10.3389/fnagi.2023.1132077,PMC10150073,neuro-empirical,2023,Frontiers in Aging Neuroscience,Imaging blood-brain barrier dysfunction: A state-of-the-art review from a clinical perspective,130800,"Published clinical and preclinical studies on BBB dysfunction in stroke, glioblastoma, Alzheimer's disease, epilepsy, TBI, and multiple sclerosis | Histopathological and postmortem studies on BBB components | Published imaging studies using PET, SPECT, DCE-MRI, ASL, and perfusion CT",N,No new empirical data collected; the paper is a narrative review synthesizing existing literature on BBB imaging techniques and their clinical applications.,,N,No software tools or code developed or released.,"PET with radiopharmaceuticals ([18F]FDG, [11C]Verapamil, [11C]Loperamide, [15O]H2O, [11C]Butanol, [68Ga]DTPA, etc.) | SPECT with diffusible and non-diffusible tracers (99mTc-HMPAO, Xenon-133, [99mTc]DTPA, etc.) | Dynamic contrast-enhanced MRI (DCE-MRI) with gadolinium-based contrast agents | Arterial spin labeling MRI (DW-ASL, multi-TE ASL) | Chemical exchange saturation transfer MRI (CEST) | Perfusion CT (pCT) with Patlak model | Kety-Schmidt kinetic modelling | Pharmacokinetic modelling (Ktrans, Vp, Ve) | Image-derived input function (IDIF) | Dual-energy/spectral CT",N,"No new computational methods, algorithms, models, or pipelines developed; existing methods (DCE-MRI pharmacokinetic models, Patlak model, Kety-Schmidt model, ASL quantification, kinetic modelling) are described and compared but not created.",No new data produced; all referenced data from previously published studies.,No software produced or made available.,"All methods described are existing, published techniques reviewed and summarized for a clinical audience; no new methods are introduced.","state-of-the-art review | emerging field of BBB imaging | BBB dysfunction could serve as an early diagnostic and prognostic biomarker | validation, standardization and implementation of readily available, low-cost and non-contrast BBB imaging techniques | efforts to validate and implement readily available non-contrast BBB MRI such as those based on ASL should be prioritized | combining biomarkers of BBB integrity and strategies of BBB modulation may allow better delivery of therapeutics",secondary,PARSE_ERR,secondary,high,0.09424,0.03108,0.00261,35333,787,35332,703,564,539,14.6,7.9,5.0,N,N,Y
18,37351094,10.3389/fpubh.2023.1203550,PMC10282756,immunology-2,2023,Frontiers in Public Health,"Is knowledge about COVID-19 associated with willingness to receive vaccine, vaccine uptake, and vaccine booster uptake in rural Malang, Indonesia?",72215,District citizen registration official report 2021 (Malang) | Indonesian Ministry of Health COVID-19 vaccination database | National/provincial vaccination coverage statistics,Y,"Original cross-sectional survey data collected from 10,007 respondents in Malang, Indonesia (November 2022–January 2023) on COVID-19 knowledge, vaccine uptake, booster uptake, and sociodemographic characteristics.",KoboToolbox (data collection) | STATA 17.1 (data cleaning and analysis),N,No new software was developed.,Stratified sampling design | Linear regression | Logistic regression | Generalized structural equation modeling (GSEM) | Maximum likelihood estimation | Delta test | Sobel test | Monte Carlo test | Listwise deletion for missing data | Six-item COVID-19 knowledge questionnaire developed by Zhong et al.,N,"Standard statistical methods (linear regression, logistic regression, GSEM, mediation tests) were applied using existing tools; no new methods were developed.",Original contributions included in the article/supplementary material; further inquiries directed to corresponding author.,No new software produced.,Standard statistical methods used; no new methods to share.,"this study has four aims | examined factors associated with knowledge about COVID-19 and the association between knowledge of COVID-19, willingness to receive a COVID-19 vaccine, and vaccine uptake | Generalized structural equation modeling (GSEM) was performed to examine whether willingness to receive a vaccine mediated the association | the number of studies considering the link between knowledge about COVID-19 and vaccine uptake and booster vaccine uptake remains limited | findings will not only aid in designing and developing educational interventions specifically targeted to improve COVID-19 vaccine uptake",primary,secondary,secondary,high,0.05576,0.01985,0.00310,20369,573,20368,890,945,586,11.8,9.5,5.2,N,Y,N
19,37359515,10.3389/fimmu.2023.1168539,PMC10285485,genetics-2,2023,Frontiers in Immunology,Genetic insights into immune mechanisms of Alzheimer’s and Parkinson’s disease,101195,"AD GWAS datasets (including meta-analysis of 788,989 individuals) | PD GWAS datasets (78 risk loci studies) | Human microglia gene expression datasets | Single-cell RNA-seq data from postmortem brain samples | Chromatin accessibility (ATAC-seq) datasets from brain cell types | Hi-C, HiChIP, PLAC-seq chromatin conformation datasets | eQTL, caQTL, H3K27ac-QTL datasets from microglia and myeloid cells | iPSC-derived microglia-like cell datasets | Bulk brain tissue epigenomic datasets (histone modification, open chromatin)",N,No new empirical data collected or generated; the paper reviews and synthesizes existing published datasets and findings.,FUMA (functional mapping tool) | MAGMA (gene set enrichment) | sLDSC (stratified LD score regression) | DeepSea (deep learning variant prioritization) | CADD (combined annotation-dependent depletion) | gkm-SVM (gapped-kmer support vector machine) | Activity-by-Contact (ABC) model | CRISPR/CRISPRi genome editing tools | CROP-seq | Mendelian randomization tools | Colocalization analysis tools,N,"No new software or tools developed; existing tools (FUMA, MAGMA, DeepSea, CADD, gkm-SVM, sLDSC, etc.) are described and discussed.","Genome-wide association studies (GWAS) | Fine-mapping with Bayesian credible sets | Stratified LD score regression (sLDSC) heritability enrichment | eQTL/caQTL/H3K27ac-QTL analysis | Colocalization analysis | Mendelian randomization | Massive Parallel Reporter Assays (MPRAs) | Single-cell RNA sequencing | Chromatin looping (Hi-C, HiChIP, PLAC-seq, promoter-capture Hi-C) | Transcription factor footprinting | Machine learning variant prioritization | CRISPR excision and interference",N,"No new algorithms, statistical methods, or computational pipelines introduced; the paper reviews and contextualizes existing methods.",No new data generated; review cites published datasets from other studies.,No new software produced; existing tools referenced with citations.,No new methods developed; existing methods described and contextualized.,we discuss the key concepts and challenges in the post-GWAS interpretation | provide an overview of the key concepts and techniques | we have outlined the key literature regarding microglia in AD and PD | we believe that modelling this context is crucial for a deepened understanding | Future studies should aim to disentangle the general functions of genes,secondary,secondary,secondary,high,0.07340,0.02458,0.00304,26038,909,26037,938,724,614,15.7,9.9,5.6,Y,Y,Y
20,36911683,10.3389/fimmu.2023.1127588,PMC9995591,micro-1,2023,Frontiers in Immunology,MAIT cells and the microbiome,130533,"Published murine germ-free and knockout mouse studies | Human clinical studies on IBD, NAFLD, NASH, ALD, HIV, HCV, HSCT, asthma, COPD | Flow cytometry datasets from published literature | Single-cell RNA sequencing data from published studies | 16S rRNA microbiome profiling studies | Mass spectrometry riboflavin secretion data from published screens",N,No new experimental data generated; review synthesizes published studies,Sparse partial least squares discriminant analysis (cited from one referenced study) | Single cell RNA sequencing pipelines (cited from referenced studies),N,No software developed or released,Flow cytometry and tetramer staining (cited from referenced studies) | Single-cell RNA sequencing | 16S rRNA gene sequencing for microbiome profiling | Bone marrow chimera models | Parabiosis experiments | Fecal microbiota transfer | In vitro co-culture assays | Ex vivo stimulation assays | Wound healing models (skin punch biopsy) | FITC-dextran translocation assays,N,"No new computational methods, algorithms, or models introduced",No new data produced; all data cited from previously published works,No software produced or made available,No new methods described; review discusses existing published methodologies,we speculate whether differences in microbiomes might account for the heterogeneity observed in MAIT cell frequency | we speculate whether manipulation of the microbiota could offer novel therapeutic strategies | we propose that the shift in community membership towards species with greater MAIT cell antigenic load can overwhelm MAIT cell homeostatic barrier defenses | a picture emerges of MAIT cells whose functions are very context dependent | approaches to manipulate MAIT cell biology may need to simultaneously target these danger signal pathways | Theoretically MAIT TCR ligands could be used sequentially or at different stages of an inflammatory response,secondary,secondary,secondary,high,0.08954,0.02969,0.00269,33979,666,33978,627,859,500,13.6,7.6,4.9,Y,Y,Y
21,37113474,10.1016/j.xops.2023.100294,PMC10127123,cs-deep,2023,Ophthalmology Science,Exploring Healthy Retinal Aging with Deep Learning,38565,"UK Biobank population study (175,844 retinal OCT scans from 85,709 participants, acquired with Topcon 3D OCT-1000 Mark II)",Y,"Synthetically generated counterfactual OCT images and longitudinal time series produced by the trained GAN, as well as retinal layer thickness measurements derived from counterfactual and real images","Iowa Reference Algorithms (Retinal Image Analysis Laboratory, Iowa Institute for Biomedical Imaging) for retinal layer segmentation | ResNet50 architecture for referee networks and segmentation network | StarGAN / framework adapted from Choi et al. for the GAN architecture",N,No standalone software tool released; code/model availability not explicitly stated beyond supplemental material,"Generative adversarial network (GAN) image translation framework | Image preprocessing: intensity-histogram-based quality filtering, flattening, registration, resampling | Visual Turing test for image realism assessment | ResNet50-based age regression, sex classification, and identity matching | Retinal layer segmentation following Shah et al. | Pearson correlation, mean absolute error, area under ROC curve statistical metrics | Retrospective cross-sectional study design",Y,"A novel counterfactual GAN architecture adapted from Choi et al. for generating subject-specific counterfactual retinal OCT images conditioned on age and sex, including a full training pipeline with generator, discriminator, and cycle-consistency objectives; also includes referee neural networks for benchmarking age, sex, and identity preservation",UK Biobank data used under existing study approval; no new data deposited; follow-up scans available for <5% of subjects,"Full network architecture, training procedure, and hyperparameters described in supplemental material at ophthalmologyscience.org; no explicit code repository mentioned",Methods described in detail in paper and supplemental material; GAN framework adapted from published work (Choi et al.),"counterfactual generative adversarial network | synthesizes high-resolution counterfactual OCT images and longitudinal time series | subject-specific changes in retinal layer structure as a function of age and sex | learning from cross-sectional, retrospective data to generate longitudinal time series | visualize hypothetical scenarios in which certain characteristics are altered whereas subject identity remains fixed | simulate how an individual's eye would appear if the subject had been born as the opposite sex | explore whether the retinal layers of a given eye will increase, decrease, or stagnate as a subject ages | enable clinical experts to derive and explore hypotheses for potential imaging biomarkers",mixed,primary,primary,high,0.03343,0.01117,0.00380,9928,800,9927,808,876,775,16.4,9.9,7.6,N,Y,N
22,37257754,10.1016/j.bpsc.2023.05.005,PMC11932972,cs-nlp,2023,Biological Psychiatry. Cognitive Neuroscience and Neuroimaging,Theory-Driven Analysis of Natural Language Processing Measures of Thought Disorder Using Generative Language Modeling,44761,Clinical ratings from experienced clinicians using Thought and Language Disorder Scale | GPT-2 pre-trained model weights (trained on web-based text),Y,"Simulated FTD-like narratives generated using GPT-2 with parametric perturbations (temperature and memory span), totaling thousands of narratives across 6 prompts and parameter ranges; clinical ratings of 249 narratives using Thought and Language Disorder Scale",GPT-2 (Generative-Pretrained-Transformer-2) | Word2Vec | GloVe | fastText | all-MiniLM-L12-v2 (sentence transformer) | all-mpnet-base-v2 (sentence transformer) | all-distilroberta-v1 (sentence transformer) | Word Mover's Distance,Y,A hands-on Python tutorial accompanying the paper implementing the simulation-based approach for generating and analyzing FTD-like narratives,Beam-search sampling | Nucleus sampling | Cosine distance / cosine similarity | Spearman correlation | Lemmatization and stop-word removal | Sentence tokenization,Y,"Novel simulation-based analytical framework using GPT-2 with modulated temperature and memory span parameters to generate FTD-like text; operationalized NLP measures of derailment (cosine distance between consecutive words/sentences) and tangentiality (slope of semantic divergence from prompt); comparative evaluation pipeline for multiple embedding approaches (Word2Vec, GloVe, fastText, contextualized models)",Simulated narratives generated in study; 249 clinically rated narratives described but no explicit repository mentioned,Hands-on Python tutorial explicitly stated to accompany the paper for dissemination,Detailed methodological description provided in paper; Python tutorial disseminates the approach,simulation-based approach as a valuable tool for hypothesis generation and mechanistic analysis | using deep generative language models to simulate FTD-like narratives by perturbing computational parameters instantiating theory-based mechanisms | theory-driven analysis of NLP measures | operationalized derailment as greater cosine distance between vector embeddings of consecutive words or sentences | operationalized tangentiality as the average rate at which the semantic meaning of a sentence diverged from the initial prompt | nonmonotonic effects that vary across metrics | quantitatively compare the sensitivity of different NLP metrics | hands-on Python tutorial,primary,primary,primary,high,0.03493,0.01156,0.00388,10576,796,10575,776,684,834,14.7,8.6,8.0,Y,Y,Y
23,37818209,10.3389/fsurg.2023.1251444,PMC10560728,health-survey,2023,Frontiers in Surgery,PRESS survey: PREvention of surgical site infection—a global pan-specialty survey of practice protocol,22965,CDC SSI prevention guidelines (2017) | WHO SSI prevention guidelines (2018) | NICE SSI prevention guidelines (2019) | Wounds UK guidelines (2020) | ISWCAP guidelines | Previous UK Vascular surgery SSI prevention survey,Y,A new cross-sectional survey instrument designed to collect primary data on SSI prevention practices from surgeons across specialties and countries worldwide; data not yet collected at time of publication (protocol paper),Qualtrics XM Platform,N,No new software produced; Qualtrics XM Platform used as existing tool,Cross-sectional survey design | CROSS reporting standards | CHERRIES reporting standards | Single-stage cluster sampling | Snowball sampling | Raking/sample weighting | Chi-square test | Consensus-based Delphi-style validation rounds | Adaptive questioning,N,"No novel computational methods developed; standard statistical methods (chi-square test, raking/weighting) are adopted from existing practice",Data not yet collected at time of publication; draft survey provided as supplementary material; data to be collected over 3-month window,No new software produced; Qualtrics XM Platform is a commercial tool,Study protocol fully described in manuscript; reported in line with CROSS and CHERRIES standards; ethical approval obtained (REF22-23 10),"international, pan-specialty, collaborative cross-sectional survey | global pan-specialty survey of practice protocol | international study steering committee will design and internally validate the survey in multiple consensus-based rounds | raking will be used to assign weight values to each survey respondent | first survey to investigate disparity in SSI preventative measures between different surgical fields and countries",primary,secondary,secondary,high,0.01979,0.00718,0.00308,5464,556,5463,703,715,627,12.6,8.2,5.5,N,Y,N
24,37154682,10.1128/spectrum.01339-23,PMC10269561,pharma-2,2023,Microbiology Spectrum,Absence of Clinically Meaningful Drug-Drug Interactions with Rezafungin: Outcome of Investigations,59427,In vitro human liver microsomal preparations (prior studies) | Published preclinical and clinical PK data for rezafungin | In vitro CYP inhibition and transporter inhibition data,Y,"Original pharmacokinetic data from two phase 1 open-label crossover clinical studies in healthy subjects measuring plasma concentrations, Cmax, AUC0-t, and AUC0-∞ for rezafungin and multiple co-administered drugs, along with safety/adverse event data.","Phoenix WinNonlin version 8.0 or higher (noncompartmental PK analysis) | SAS version 9.4 (statistical analysis, mixed procedure) | LC-MS/MS validated bioanalytical methods",N,"No new software was developed; existing tools (Phoenix WinNonlin, SAS 9.4) were used.",Noncompartmental analysis (NCA) | ANOVA with geometric least-squares mean ratio | 90% confidence interval calculation on log-transformed PK parameters | Drug cocktail crossover study design | Bioequivalence no-effect boundary (80–125%) framework | Log-linear trapezoidal rule for AUC estimation,N,"Standard noncompartmental analysis (NCA), ANOVA-based geometric least-squares mean ratio analysis, and 90% CI calculations were applied but not newly developed.",Supplemental tables provided within publication; full dataset not explicitly deposited in a public repository,"Commercial software used (Phoenix WinNonlin, SAS); no new software released",Standard regulatory/ICH-compliant DDI assessment methods described in detail in Materials and Methods section,novel once-weekly echinocandin | first in vivo DDI characterization of rezafungin | three-drug cocktail approach | phase 1 open-label crossover studies conducted in healthy subjects | absence of clinically meaningful drug-drug interactions with rezafungin | low drug interaction potential via CYP substrate/transporter pathways,primary,secondary,secondary,high,0.05379,0.01861,0.00309,18973,688,18972,859,889,594,12.9,9.4,5.3,N,Y,N
